ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2014-12-01,6.765155210295151,4.679066002359171,8.365772777091951,6.765155210295151,6.765155210295151,-0.0730223015238632,-0.0730223015238632,-0.0730223015238632,-0.038238449931361204,-0.038238449931361204,-0.038238449931361204,0.034783851592501996,0.034783851592501996,0.034783851592501996,0.0,0.0,0.0,6.506466161508393
2015-01-01,6.690061644828928,4.271367969955034,8.173589964882533,6.690061644828928,6.690061644828928,-0.05257474235733399,-0.05257474235733399,-0.05257474235733399,-0.07525249890425027,-0.07525249890425027,-0.07525249890425027,-0.02267775654691628,-0.02267775654691628,-0.02267775654691628,0.0,0.0,0.0,6.1866177882320725
2015-02-01,6.6150047293052685,5.4353325534749,9.232269364765347,6.6150047293052685,6.6150047293052685,0.12768916509993136,0.12768916509993136,0.12768916509993136,0.10559299170478369,0.10559299170478369,0.10559299170478369,-0.022096173395147675,-0.022096173395147675,-0.022096173395147675,0.0,0.0,0.0,7.313502868813905
2015-03-01,6.547211386251641,4.0129331866459745,7.803002577159299,6.547211386251641,6.547211386251641,-0.12256018625578396,-0.12256018625578396,-0.12256018625578396,-0.08495649390280557,-0.08495649390280557,-0.08495649390280557,0.03760369235297839,0.03760369235297839,0.03760369235297839,0.0,0.0,0.0,5.990983262035175
2015-04-01,6.472154470727981,4.488044848598165,8.203887425092704,6.472154470727981,6.472154470727981,-0.02493890483301108,-0.02493890483301108,-0.02493890483301108,-0.013928060451168081,-0.013928060451168081,-0.013928060451168081,0.011010844381843,0.011010844381843,0.011010844381843,0.0,0.0,0.0,6.382009912010384
2015-05-01,6.399518746027666,3.912536780923659,7.734511076258421,6.399518746027666,6.399518746027666,-0.05257474235725407,-0.05257474235725407,-0.05257474235725407,-0.08488202598559454,-0.08488202598559454,-0.08488202598559454,-0.03230728362834046,-0.03230728362834046,-0.03230728362834046,0.0,0.0,0.0,5.856314629532046
2015-06-01,6.324461830504006,4.900925751600132,8.65361124211401,6.324461830504006,6.324461830504006,0.1276891650998893,0.1276891650998893,0.1276891650998893,0.08998720392866585,0.08998720392866585,0.08998720392866585,-0.03770196117122345,-0.03770196117122345,-0.03770196117122345,0.0,0.0,0.0,6.8935824669846335
2015-07-01,6.252964835984334,4.460528389666455,8.417265999010212,6.252964835984334,6.252964835984334,0.050680034899760876,0.050680034899760876,0.050680034899760876,0.02065419868487333,0.02065419868487333,0.02065419868487333,-0.030025836214887545,-0.030025836214887545,-0.030025836214887545,0.0,0.0,0.0,6.382114814076281
2015-08-01,6.179084608314005,3.8656772589375565,7.512468142711283,6.179084608314005,6.179084608314005,-0.09762994764272004,-0.09762994764272004,-0.09762994764272004,-0.06431470788953583,-0.06431470788953583,-0.06431470788953583,0.03331523975318419,0.03331523975318419,0.03331523975318419,0.0,0.0,0.0,5.781678586705563
2015-09-01,6.105204380643679,4.568435982510779,8.25436271423693,6.105204380643679,6.105204380643679,0.015820021156241933,0.015820021156241933,0.015820021156241933,0.024980752077687747,0.024980752077687747,0.024980752077687747,0.009160730921445814,0.009160730921445814,0.009160730921445814,0.0,0.0,0.0,6.257716977660151
2015-10-01,6.033707386124006,4.870587722124076,8.732506711752317,6.033707386124006,6.033707386124006,0.10900506662414361,0.10900506662414361,0.10900506662414361,0.13490056502275624,0.13490056502275624,0.13490056502275624,0.02589549839861263,0.02589549839861263,0.02589549839861263,0.0,0.0,0.0,6.847657921694112
2015-11-01,5.95982715845368,4.005815365275656,7.7026948836333595,5.95982715845368,5.95982715845368,-0.038512410000022576,-0.038512410000022576,-0.038512410000022576,-0.0260625952229313,-0.0260625952229313,-0.0260625952229313,0.012449814777091277,0.012449814777091277,0.012449814777091277,0.0,0.0,0.0,5.804498595624269
2015-12-01,5.889723001354227,4.181843314329064,8.18814614216441,5.889723001354227,5.889723001354227,0.00457520999991781,0.00457520999991781,0.00457520999991781,0.04189510721871016,0.04189510721871016,0.04189510721871016,0.03731989721879235,0.03731989721879235,0.03731989721879235,0.0,0.0,0.0,6.136473577984465
2016-01-01,5.817282039018125,3.4196930665906735,7.221729427179042,5.817282039018125,5.817282039018125,-0.07302230152422176,-0.07302230152422176,-0.07302230152422176,-0.09627449167034534,-0.09627449167034534,-0.09627449167034534,-0.023252190146123584,-0.023252190146123584,-0.023252190146123584,0.0,0.0,0.0,5.257226167808626
2016-02-01,5.744841076682022,3.3755064790003946,7.13928906494781,5.744841076682022,5.744841076682022,-0.052574742357043416,-0.052574742357043416,-0.052574742357043416,-0.07553005843190726,-0.07553005843190726,-0.07553005843190726,-0.02295531607486384,-0.02295531607486384,-0.02295531607486384,0.0,0.0,0.0,5.310932894478207
2016-03-01,5.677073724819217,3.537807807228497,7.297250749089705,5.677073724819217,5.677073724819217,-0.07302230152413022,-0.07302230152413022,-0.07302230152413022,-0.043087258808093734,-0.043087258808093734,-0.043087258808093734,0.02993504271603648,0.02993504271603648,0.02993504271603648,0.0,0.0,0.0,5.432464179965303
2016-04-01,5.604632762483115,3.4209806055450778,7.345743874301905,5.604632762483115,5.604632762483115,-0.05257474235741019,-0.05257474235741019,-0.05257474235741019,-0.03304270536978163,-0.03304270536978163,-0.03304270536978163,0.019532036987628565,0.019532036987628565,0.019532036987628565,0.0,0.0,0.0,5.4194405334065605
2016-05-01,5.534528605383661,3.2639661393500092,7.153510327072727,5.534528605383661,5.534528605383661,-0.024938904833156195,-0.024938904833156195,-0.024938904833156195,-0.05675380710689028,-0.05675380710689028,-0.05675380710689028,-0.03181490227373408,-0.03181490227373408,-0.03181490227373408,0.0,0.0,0.0,5.22042303648615
2016-06-01,5.464336924656755,3.6343074145733385,7.376229163129048,5.464336924656755,5.464336924656755,0.05068003489985484,0.05068003489985484,0.05068003489985484,0.015539793774590353,0.015539793774590353,0.015539793774590353,-0.035140241125264475,-0.035140241125264475,-0.035140241125264475,0.0,0.0,0.0,5.5492515935808
2016-07-01,5.396409491695232,3.7740597658384303,7.744993204107669,5.396409491695232,5.396409491695232,0.12768916509998557,0.12768916509998557,0.12768916509998557,0.08887505168531358,0.08887505168531358,0.08887505168531358,-0.038814113414671975,-0.038814113414671975,-0.038814113414671975,0.0,0.0,0.0,5.876015664184763
2016-08-01,5.326217810968326,4.305024262147717,7.872026538791916,5.326217810968326,5.326217810968326,0.10146899483306117,0.10146899483306117,0.10146899483306117,0.13214904630170093,0.13214904630170093,0.13214904630170093,0.030680051468639755,0.030680051468639755,0.030680051468639755,0.0,0.0,0.0,6.030072415082924
2016-09-01,5.256026130241419,3.930642759094973,7.6718996831426365,5.256026130241419,5.256026130241419,0.10900506662402504,0.10900506662402504,0.10900506662402504,0.12341217291390555,0.12341217291390555,0.12341217291390555,0.014407106289880497,0.014407106289880497,0.014407106289880497,0.0,0.0,0.0,5.9046837358667785
2016-10-01,5.188098697279897,3.3979847640711265,7.245952502776508,5.188098697279897,5.188098697279897,0.015820021156374285,0.015820021156374285,0.015820021156374285,0.04654377759556667,0.04654377759556667,0.04654377759556667,0.030723756439192375,0.030723756439192375,0.030723756439192375,0.0,0.0,0.0,5.429572409189942
2016-11-01,5.1282637516825,3.2492377389311216,7.022906024113605,5.1282637516825,5.1282637516825,0.004575209999908533,0.004575209999908533,0.004575209999908533,0.01837312449074347,0.01837312449074347,0.01837312449074347,0.013797914490834944,0.013797914490834944,0.013797914490834944,0.0,0.0,0.0,5.22248598001353
2016-12-01,5.070358965620502,3.120372190754536,6.9960405823678915,5.070358965620502,5.070358965620502,-0.03851241000016087,-0.03851241000016087,-0.03851241000016087,-0.008822634200150647,-0.008822634200150647,-0.008822634200150647,0.029689775800010223,0.029689775800010223,0.029689775800010223,0.0,0.0,0.0,5.025625043203378
2017-01-01,5.010524020023105,2.456430008394605,6.214718551856478,5.010524020023105,5.010524020023105,-0.12256018625604119,-0.12256018625604119,-0.12256018625604119,-0.14415087774606022,-0.14415087774606022,-0.14415087774606022,-0.021590691490019007,-0.021590691490019007,-0.021590691490019007,0.0,0.0,0.0,4.288252584569056
2017-02-01,4.950689074425708,2.949173927815652,6.477378335108096,4.950689074425708,4.950689074425708,-0.024938904833005537,-0.024938904833005537,-0.024938904833005537,-0.04521349128802646,-0.04521349128802646,-0.04521349128802646,-0.02027458645502091,-0.02027458645502091,-0.02027458645502091,0.0,0.0,0.0,4.726851137089434
